순번,기술명,특허 출원번호
69,축제식 새우 양식을 위한 바이오플락 배양장치,10-2015-0091894
70,타르 회수를 통한 바이오촤 펠릿 생산 시스템,10-2017-0161473
71,테일러 반응에 기반한 연속식 자동화 나노다이아몬드 정제 공정 개발,10-2017-0116833
72,트렌스페린을 포함하는 허혈성망막병증 예방 및 치료용 조성물,10-2016-0035892
73,티탄염을 이용한 폐수 내 인의 제거방법,10-2015-0074240
74,폐탄소섬유 재활용 및 저품위 탄소섬유 표면개질 장치,10-2020-0159252
75,폴리우레탄 중합지연촉매 및 이를 이용한 폴리우레탄 중합지연방법,10-2018-0083042
76,플라즈마를 이용한 악취 제거 장치,10-2019-0045023
77,항암·항염증 플랫폼 혁신신약개발 기술,10-2020-0086981
78,해당화 추출물의 여성 폐경기 증후군 및 IL-6 매개성 질환 개선· 치료 용도 기술,10-2016-0090165
79,해수의 간접탄산화를 이용한 고순도 배터라이트형 및 칼사이트형 탄산칼슘의 제조방법,10-2020-7023744
80,해조류 지충이 추출물을 유효성분으로 함유하는 암 예방 또는 치료용 조성물,10-2016-0098552
81,해치커버 개폐 장치 ,10-2020-0026362
82,허혈성 뇌질환 저항성 동물 모델 및 이의 제조 방법,10-2017-0158142
83,혈관 신생을 촉진시키는 정형외과 및 치과용 금속 복합체,10-2018-0077891
84,히알루론산 나노 입자를 합성하는 방법 및 이의 히알루론산 나노 입자,10-2020-0004388
85,히알루론산 마이크로비드,10-2018-0055584
86,3차원 방사형 히트싱크,10-2019-0133834
87,DC 사고전류 차단을 위한 갭 스위치 방식의 직류 차단기,10-2015-0051870
88,OLED광 치료 장치 및 이의 제조 방법,10-2016-0020649
89,STIX 및 TAXII 기반 악성파일탐지기술,10-2016-0080973
90,가상현실기반의 수부 재활 치료 시스템 및 수부 재활 치료 방법,10-2017-0152342
91,가열위치를 제어하는 마이크로파 선택 가열 기술,10-2012-0050641
92,건설기계의 안전경고장치,10-2016-0006660
93,건설기계의 위험경고장치,10-2017-0072909
94,결로현상 없이 높은 습도를 유지할 수 있는 나노증기형 강제증발식 가습기,10-2011-0092381
95,고전류 주변 전기장 활용 전원저장기술,10-2018-0154096
96,공간 증강 현실 기반 인터랙티브 디스플레이 방법,10-2010-0026969
97,공형 액추에이터 구동방식 액적 디스펜싱 장치,10-2009-0097599
98,금속-공기 이차전지용 촉매의 제조방법,10-2017-0054604
99,다각도 복합재 3D 프린터 노즐,10-2017-0103943
100,다중 고정자 동기기를 이용한 양방향 계통연계 시스템,10-2018-0012904
101,다중로그 멀티모달 센서데이터 처리 및 분석기술,10-2017-0135370
102,두께 측정 장치 및 두께 측정 방법,10-2012-0114099
103,매립형 다기능 센서를 활용한 비탈면 측정 시스템 및 방법,10-2015-0033747
104,반도체 후면 세정을 위한 메가소닉 세정 시스템,10-2009-0055165
105,복합재료 자동 적층 시스템,10-2015-0188289
106,비전카메라 및 가속도계 통합 기반 실시간 정적/동적 변위 계측시스템,10-2017-0061811
107,비행체 및 비행체의 제어 방법,10-2020-0003183
108,세라믹/금속 적층형 가스센서 및 그 제조방법,10-2016-0073529
109,스마트용접시스템,10-2020-0033686
110,스캐폴드 지지체 제조용 하이브리드 바이오 프린트 장치 및 이를 이용한 제조 방법,10-2014-0064573
111,실시간 동축 열화상 계측 기반 금속 DED 3D 프린팅 공정 모니터링,10-2019-0179186
112,엔진 토크 국부 볼록 최소의 특성을 사용하여 차량 시스템의 질량을 추정하는 방법,10-2020-0021832
113,엣지카메라 객체검출기 지역최적화 기술,10-2020-0147645
114,염소 발생 반응용 PT-N-C계 전기화학적 촉매 및 이의 제조방법,10-2019-0107891
115,온도 및 변형률 동시 측정용 레일레이-브릴루앙 하이브리드 분포형 광섬유 센서 장치 및 그 제어방법,10-2018-0165288
116,입자 분급 시스템,10-2014-0003797
117,자동조절이 가능한 PV프레임이 적용된 BIPV 이중외피 시스템,10-2018-0029436
118,저전력 MCU SoC설계기술 ,10-2018-0109862
119,적층형 무연 압전 소자 기술,10-2019-0104197
120,전력변환시스템용 제어플랫폼 시스템,10-2018-0139549
121,전류 측정/신호 및 차단 성능 모니터링 시스템,10-2018-0145835
122,"전이금속 화합물, 그 제조 방법, 및 이를 포함하는 리튬 이차 전지용 전극활물질",10-2017-0101992
123,전자소자용 패턴을 응용한 웨어러블 섬유형 전자소자,10-2018-0072707
124,탄소나노튜브-그래핀튜브 재료가 적용된 유연구동기제조방법,10-2018-0128857
125,테라헤르츠파 기반의 복합재 구조물 비파괴 비접촉 검사 장치 및 방법,10-2017-0182508
126,표적신호 분리를 이용하여 탐지성능이 향상된 초분광 영상의 표적물질 탐지방법,10-2015-0169249
127,플라즈마 기반 스마트 저장시스템,10-2018-0170061
128,"피치 가변 디스플레이 구동 장치, 방법 및 시스템",10-2018-0150771
129,하이브리드 광전변환 소자,10-2016-0086894
130,허니컴 코어 구조의 전자기파 흡수체의 제조방법,10-2019-0103324
131,면역기능 증진 활성이 있는 연잎 유래 다당 분획물,10-2018-0053583
132,"면역조절, 식품, 개인위생용품 등을 위한 락토코쿠스 배양액",10-2012-0088050
133,모과 추출물 또는 이의 분획물을 유효성분으로 함유하는 항비만용 조성물,10-2016-0010490
134,목련 추출물 마그놀롤 성분 함유 근손상 치료제 및 건강기능식품,10-2020-0052321
135,무청 추출물을 유효성분으로 포함하는 다기능 조성물,10-2019-0049158
136,미세플라스틱 및 마그네슘이 제거된 소금 생산 장치,10-2020-0131034
137,박대껍질 묵의 제조방법,10-2017-0092168
138,토종보리수 열매 추출물을 포함하는 비알콜성 지방간질환 예방 또는 치료용 조성물,10-2019-0073847
139,항균 활성과 프로바이오틱스 특성을 갖는 락토바실러스 펜토서스 SRCM101105 균주 및 이의 용도　,10-2018-0057788
140,"항산화, 피부 미백 및 주름 개선 효능이 증대된 아로니아 음료 조성물",10-2018-0023776
141,향상된 색채 및 향미를 갖는 꿀가루의 제조방법 및 이에 의해 제조되어 향상된 색채 및 향미를 갖는 꿀가루,10-2015-0038030
142,3차원 인터커넥트 패턴을 포함한 스마트렌즈,10-2018-0063606
143,고령자 헬스케어를 위한 스마트 보행 시뮬레이터,10-2019-0145553
144,광원의 크기를 억제하여 해상도를 높인 X-ray 광원 팽창 방지 기술,10-2013-0136146
145,나노크랙을 이용한 변형율 감지 센서 제조기술,10-2015-0027810
146,능동형 피부접촉 센서,10-2017-0171226
147,다양한 종류의 박막을 이용하여 압력의 변화에 일정한 민감도를 갖는 일회용 유속측정장치,10-2019-0000378
148,맞춤형 발목보조기 및 이의 제조방법,10-2018-0083881
149,멀티채널 기반 반지형 스마트 청진기 외 3건,10-2020-0054117
150,버블 유입 방지용 시료주입 장치,10-2017-0171352
151,보행 보조를 위한 웨어러블 로봇 제어 장치 및 방법,10-2020-0009749
152,볼텍스 튜브를 이용한 유냉각기 온도 및 용량조절 시스템,10-2017-0177232
153,비 접촉 센서를 이용한 신체 상태 정보 획득 방법,10-2019-0045662
154,생산성과 살균활성이 향상된 이산화염소 기체 발생장치,10-2016-0045482
155,생체금속재료용 전기화학 나노표면처리 기술,10-2016-0060719
156,수면마취용 구강점막 부착형 패치,10-2013-0127858
157,약물전달체 및 원료의약품 제조기술,10-2019-0123155
158,약물주입펌프용 저속 정밀 유량측정 시스템,10-2019-0021330
159,열전소자를 이용한 제습 장치,10-2017-0027003
160,유방암 조기진단용 3차원 DBT/DOT 융합영상 및 자동병변 검출시스템 개발,10-2016-0143513
161,인공관절 통합관리 장치 및 어플리케이션,10-2019-0035492
162,일회용 비닐가운 착용장치,10-2017-0105245
163,증강현실 기반의 근골격계 질환의 운동 치료 프로그램 제공 및 관리 시스템,10-2019-0155224
164,플렉서블 플라즈마 살균제독치료 기술,10-2015-0186193
165,회절 격자 기반의 엑스레이 장치,10-2011-0067552
166,휴대용 경부 온열장치(가시광 또는 적외선 LED를 통해 목에 온열을 제공하는 기능성 경부온열기),10-2019-0063751
167,휴대용 자외선 이미징 모듈을 구비한 자외선 이미징 시스템,10-2019-0111978
168,힘 센서에 기반하여 각성 및 호흡률을 검출하기 위한 방법 및 장치,10-2019-0016809
169,3D 형상의 세라믹 매트릭스 복합재를 제조하는 3D 프린팅 장치 및 3D 프린팅 방법,10-2017-0180722
170,V2X 통신 기반 드라이빙 통합 시뮬레이션 장치,10-2016-0044866
171,각 바퀴를 직접 독립적으로 구동할 수 있는 4륜 직축구동 전기자동차 시스템 개발 기술,10-2016-0001991
172,고전압 배터리팩의 임피던스 측정장치,10-2016-0073968
173,고출력 이차전지용 음극소재의 출력특성 향상을 위한 표면개질,10-2019-0122392
174,광-에너지 전환/저장 효율이 향상된 염료감응형 자가충전 광 화학전지 및 그 제조방법,10-2018-0023762
175,"나노 금속 및 나노 탄소를 하이브리드 시킬 수 있는 고분자 분산제, 이의 제조방법 및 이를 이용하여 제조되는 하이브리드 필름의 제조방법",10-2018-0174170
176,다수의 배터리팩 관리 및 비용절감 기능을 갖는 고효율 전기자동차용 배터리 충전 시스템,10-2011-0139411
177,리튬 이차전지용 음극활물질 및 이의 제조방법,10-2020-0011249
178,유도공진 통합형 무선충전기 설계 및 제어기술,10-2016-0160063
179,유연성 및 안정성 확보된 리튬이차전지 제조기술,10-2015-0172621
180,전기자동차 긴급 구난용 차량의 충전시스템,10-2012-0030749
181,전기차 충전기 통신장치 방법,10-2019-0103636
182,주행의 편의성을 향상시키는 차량 주변 상황 인지 시스템,10-2017-0106472
183,대기압 플라즈마를 이용한 리튬이온 배터리 극판 표면처리 기술,10-2013-0012491
184,라이다 센서 및 카메라를 이용한 객체 검출 방법 및 그를 위한 장치,10-2018-0008322
185,라이다를 위한 폴라뷰 영상 변환 방법 및 장치,10-2017-0158886
186,사용자의 안전 운전 및 편의를 위한 차량용 임베디드 시스템,10-2014-0052586
187,심층 강화 학습을 이용한 자율 이동체의 충돌 회피 및 자율 탐사 기법 및 장치,10-2018-0171729
188,운전자 행동 기반 헤드 업 디스플레이 시스템,10-2016-0110588
189,인공 지능 심층 학습 타겟 탐지 및 속도 퍼텐셜 필드 알고리즘 기반 장애물 회피 및 자율 주행 방법 및 장치,10-2020-0055141
190,자율 주행 시스템에서의 조향 제어 장치 및 그 방법,10-2020-0047221
191,자율주행 시스템에 있어서 배치를 이용한 선분 병합 방법 / 다중 라이다를 이용한 다중 물체 인식 시스템 / 다중 라이다를 이용한 다중 물체 추적 시스템 및 방법,10-2017-0167296
192,자율주행 자동차를 위한 차선 인식 시스템 및 방법,10-2017-0114942
193,자율주행차의 센서 커버리지 초과 위험 대응 시스템 및 방법,10-2020-0036205
194,조향 고장 대처 기능을 갖는 조향시스템 및 이의 작동방법,10-2020-0067031
195,차량 내/외부 통신 통합제어기 기반 소프트웨어 및 테스트 어플리케이션,10-2016-0123117
196,차량 통신 시스템을 활용한 무인비행체 및 이를 이용한 무인비행체 경로 제어 방법,10-2015-0146832
197,가상이미지에 대한 정량 평가 가능한 VR/AR 기기 광특성 및 영상품질 평가장비,10-2019-0134653
198,계층적 그래프 구조 기반의 3차원 SLAM기술 ,10-2019-0062980
199,농어촌 지역 라이프케어를 위한 고령자 친화용 통합 플랫폼 개발,10-2020-0012741
200,농축산 도난을 감지하는 영상 감시 장치,10-2018-0047431
201,드론의 3차원 경로 설정 시스템,10-2018-0167197
202,딥러닝을 이용한 방송 콘텐츠에서 음악 구간 검출 시스템,10-2019-0044882
203,"머신 러닝을 이용하여 머리에 관한 생체 정보를 추정하기 위한 방법, 시스템 및 비일시성의 컴퓨터 판독 가능한 기록 매체",10-2020-0044318
204,소음을 이용한 딥러닝 기반 자동차 고장진단 시스템 및 방법,10-2017-0119733
205,스마트 온실 관제 시스템,10-2016-0017497
206,"영어, 중국어, 일본어 서버형 음성인식기술",10-2016-0150610
207,온라인 사용자 메타 행동 패턴 인식 기반 지능형 서비스 플랫폼 구축 기술,10-2019-0179849
208,인공지능 기반 환경 적응형 시간 동기화 군집 로봇 커버리지 방법 및 시스템,10-2018-0150128
209,자동 광학 검사를 위한 오토포커싱 기술,10-2020-0008984
210,자동 임무계획 알고리즘이 적용된 정밀 유도낙하산 시스템용 비행 제어방법,10-2017-0022296
211,"충돌회피 및 자율주행을 위한 센서융합 기반 하이브리드 반응 경로 계획 방법, 이를 수행하기 위한 기록 매체 및 이동로봇",10-2015-0028037
212,콘텐츠와 냄새인식장치 간의 상호협력 장치 및 방법,10-2011-0137589
213,효율적인 제조 공정을 위한 스마트 팩토리 솔루션,10-2018-0083477
214,USB 포렌식데이터 획득 기술,10-2020-0104145
215,농산물 가격 및 판매량 예측 시스템,10-2018-0115592
216,다중로그 데이터 기반 이동경로 및 위치예측 분석기술,10-2017-0052357
217,블록체인을 이용한 데이터 관리 장치 및 이를 위한 방법,10-2019-0098812 
218,빅데이터처리시스템,10-2018-0119107
219,정형 및 비정형의 빅데이터를 이용한 마케팅 서비스 시스템 및 방법,10-2018-0106448
220,무선 전력 전송을 위한 안테나,10-2019-0178393
221,무선 통신 시스템에서 단말의 위치추정 방법 및 장치,10-2018-0169186
222,새로운 멀티-디바이스 패러다임을 위한 차세대 모바일 플랫폼 기술,10-2020-0134523
223,언제 어니서나 편리한 무선전력 전송 기술,10-2020-0124917
224,이동체의 위치 및 자세 결정 장치 및 방법,10-2016-0078609
225,장거리 무선전력 전송 기술,10-2019-0155290
226,차세대 무선망에서 향상된 V2X를 위한 차량용 MIMO 시스템,10-2018-0075926
227,AMI 시스템에서의 전자식 전력량계의 고장 감지장치 및 그 방법,10-2019-0022113
228,FIDO 2 인증 기술,10-2017-0011291
229,고부착 투명 나노절연소재 기술,10-2017-0096400
230,광섬유 레이저,10-2014-0003393
231,교통체계에 따라 비행 가능한 무인비행체 시스템,10-2018-0023128
232,능동형 살균 및 치료기능을 갖는 애완동물 케이스,10-2015-0162313
233,디지털 트윈 서비스를 구현하는 스마트팜,10-2015-0107102
234,레이더 센서를 이용한 재난 구조 시스템,10-2017-0083415
235,미세먼지 측정 장치,10-2016-0100309
236,밀폐형 식물공장 시스템에서 광질을 이용한 시금치의 재배방법,10-2018-0002479
237,비콘을 이용한 재난 안전 스마트 안내 서비스 제공 시스템 및 그 방법,10-2018-0143315
238,사용자 권한 부여 기능을 활용한 차량용 음성인식 기술,10-2019-0151916
239,손가락 의지,10-2018-0096088
240,쉽게 충전 가능한 자기유도/공진 무선충전기,10-2011-0042427
241,스마트 염색공장 구축을 위한 염색정보 실시간 통합 모니터링 기술 개발,10-2018-0051621
242,스마트 전기안전 전자스위치 기술,10-2018-0152078
243,신재생에너지 수용률 향상을 위한 미래배전계통 운영시스템 기술,10-2019-0136646
244,압력 분할 조절형 매트리스,10-2019-0146739
245,온실용 온습도 측정 장치,10-2020-0162767
246,웨어러블 스마트 구명조끼,10-2013-0120433
247,위치 제어 방법 및 위치 제어기,10-2019-0030513
248,인체생리신호를 활용한 자가 운동모니터링 방법 및 이에 사용되는 의류,10-2019-0147196
249,자동동조를 이용한 관절장치 및 이의 유연구동 메커니즘,10-2017-0078147
250,"전기화학센서, 및 그 제조 방법",10-2015-0187851
251,전자장치와 연동하는 미러 장치 및 그 동작 방법,10-2017-0045979
252,조명공간정보 획득장치 및 그 방법과 대상 공간의 조명환경평가방법,10-2019-0005704
253,직류-직류 컨버터,10-2013-0034756
254,체중 감응형 슬라이드싱크 틸트 의자,10-2016-0161289
255,콘센트와 플러그의 안전사고 방지장치,10-2019-0129133
256,터널 조명 모듈 제어 방법,10-2017-0181797
257,패널 유연성을 이용한 플렉서블 디스플레이 장치 및 그 동작 방법,10-2016-0007678
258,피부 감각 측정 및 탄성도 측정 장치,10-2017-0172760
259,SLIPS 구조체,10-2018-0105172
260,난연성 에폭시 조성물 및 그 제조 방법,10-2019-0049676
261,드론을 활용한 송전선로 점검,10-2019-0126688
262,"반투명 페로브스카이트 태양전지 제조기술, 이를 포함하는 태양전지 모듈 및 유리창호",10-2019-0002773
263,복합소재가 적용된 추적식 해상 태양광 발전 시스템,10-2019-0015406
264,송전철탑 항공장애구 전원 공급을 위한 소형풍력발전시스템,10-2017-0066686
265,심층 신경망 기반 전력수요 예측장치 및 방법,10-2019-0107234
266,염료감응 태양전지 및 그 제조방법,10-2009-0104201
267,조립식 이동형 태양광 발전장치 및 태양광 발전 시스템,10-2019-0093915
268,집광형 태양전지 시스템의 리시버 및 그를 포함하는 집광형 태양전지 시스템,10-2019-0013053
269,추적식 태양광 발전장치,10-2018-0119190
270,"축전지, 태양 전지 패널 및 충전 컨트롤러를 포함하는 태양광 발전 시스템",10-2019-0010040
271,태양 전지 및 그 제조 방법,10-2014-0137690
272,태양광 모듈,10-2019-0082711
273,태양광 모듈 세척 시스템 및 이를 구비하는 태양광발전 시스템,10-2019-0093916
274,태양광 발전량 예측장치 및 방법,10-2019-0131478
275,태양광 발전량 추정 시스템 및 방법,10-2019-0125648
276,태양광 발전방식을 활용한 전기추진식 해양레저용 투명 반잠수정,10-2020-0103124
277,태양광 발전설비 관리 시스템 및 그 방법,10-2020-0052531
278,태양광 발전장치,10-2017-0174481
279,태양광발전 및 해양양식 복합시스템,10-2018-0074281
280,"페로브스카이트 태양전지, 이의 제조방법 및 이를 이용한 플렉시블 디바이스",10-2019-0057972
281,풍력발전기용 복합재 블레이드의 피로 균열 발생 수명 예측 방법,10-2018-0136741
282,풍력발전기의 블레이드를 따라 이동 가능한 구조를 포함하는 풍력발전기 점검용 드론,10-2019-0145429
283,EMI 필터 및 이를 이용한 EMI의 저감 방법,10-2016-0101264
284,"Ti, Ni 및 Si로 구성된 형상기억합금",10-2014-0159121
285,고강도/고압출성 알루미늄 전신재 합금,10-2016-0040972
286,내마모 윤활성 복합소재 및 자동차용 부품 적용,10-2018-0172803
287,냉각속도 및 용탕 흐름이 개선된 반응고 합금 제조장치,10-2015-0140399
288,도금 및 제철 폐수 내의 음이온 제거를 위한 2차원 소재 및 그 응용,10-2019-0159307
289,열팽창률 차이를 이용한 파이프 강관 내부 코팅 기술,10-2019-0171620
290,중금속 고화처리 장치 및 황화합물 제거 기술,10-2020-0048285
291,지진발생시 필로티건물의 기둥 보강 방법,10-2018-0054491
292,지진에 의해 손상된 콘크리트기둥 보수방법,10-2018-0054457
293,초경합금 스크랩으로부터 텅스텐 및 코발트 회수방법,10-2010-0117087
294,폐석고를 활용한 생분해성 수지 조성물,10-2020-0032556
295,현무암 섬유 건축소재,10-2013-0161704
296,대기 비노출 이차전지소재 분석,10-2015-0186476
297,멤브레인 분리막 기술 및 열교환기를 이용한 이산화탄소 및 온배수 재활용 시스템 및 방법,10-2015-0146400
298,유도전동기 온라인 진단 기술,10-2010-0031107
299,접착 구조물의 손상 탐지 장치,10-2014-0064287
300,직교좌표 로봇 장치,10-2015-0188552
301,플라즈마 건식 개질기 장치 및 시스템(PCCU),10-2012-0099222
302,필터 수명을 연장하고 상태 알림이 가능한 공기정화 장치,10-2017-0162275
303,가변형 반사갓이 설치되는 터널설치형 램프,10-2017-0181774
304,기공모사 멤브레인,10-2015-0149469
305,레이돔용 팁 어셈블리 및 그 제조방법,10-2017-0180421
306,비접촉 마그네틱 기어가 적용된 상반회전 프로펠러 전기추진기 기술,10-2020-0028419
307,상변화를 일으키는 유체를 이용한 LNG 연료 공급 시스템,10-2018-0010571
308,세라믹박막 발열체를 이용한 면상 발열장치 및 그 제조방법,10-2013-0035522
309,에너지 저장 시스템의 전력 충전 상태 변화량을 최소화하는 전력 제어 시스템,10-2016-0036845
310,온도에 따라 스스로 열 차단하는 스마트 윈도우,10-2017-0154461
311,전기추진선박용 스마트그리드 전력제어시스템,10-2018-0170675
312,전자유압 시스템의 피크압력 저감제어방법 및 장치,10-2019-0080649
313,콘 크러셔,10-2017-0019792
314,탑재형 자중계의 하중 보정 장치 및 방법,10-2019-0102417
315,"하이브리드형 흡착모듈, 이를 이용한 실내 공기정화장치 및 그 제어방법",10-2011-0146890
316,환경 차폐 코팅층을 포함한 비산화물 기판 및 이의 제조 방법,10-2019-0108639
317,계통연계형 스마트 전력 변환장치 기술,10-2014-0120264
318,도서지역 독립 계통 하이브리드 전원 시스템 및 제어,10-2014-0150395
319,"슬래그를 이용한 세라믹 장섬유 및 세라믹 단섬유, 그 원료, 이를 이용한 단열재, 및 그 제조방법",10-2017-0162900
320,차량의 진동을 전기에너지로 변환하는 에너지 하베스팅 시스템 기술,10-2017-0114001
400,5-메틸-1H-테트라졸의 제조방법,10-2021-0003934
401,AGEs 생성 억제가 우수한 당뇨합병증 개선용 조성물,10-2020-0126996
402,EGF와 유사한 피부 노화 개선용 천연 화장품 소재,10-2020-0109404
403,"miR-126과 편백오일의 나노에멀전을 유효성분으로 포함하는 아토피성 피부염의 예방, 개선 또는 치료용 조성물",10-2021-0156831
404,SARS-CoV-2 바이러스 유전자 검출용 조성물 및 이를 이용한 실시간 역전사 중합효소 연쇄반응 기반 코로나바이러스 감염증-19 진단,10-2020-0162555
405,TIMP 단백질 억제제를 유효성분으로 포함하는 골 질환 치료용 조성물,10-2021-0083617
406,간 세포의 지방축적을 억제하는 비알콜성 지방간 질환 예방 조성물,10-2019-0006145
407,고흡수성 수지를 이용한 경량 오일 펜스,10-2018-0155696
408,골밀도 강화 및 골다공증 치료 효과를 갖는 엑소좀을 포함한 조성물,10-2019-0127400
409,공기 중 병균 및 먼지 측정 키트,10-2019-0002308
